Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2023-08-12,15:00,Premier League,Matchweek 1,Sat,Home,W,4,1,Luton Town,4.0,1.5,70,31872,Lewis Dunk,4-2-3-1,3-5-2,David Coote,Match Report,,26,11,17.0,0.0,1,1,Brighton And Hove Albion,2024
2023-08-19,15:00,Premier League,Matchweek 2,Sat,Away,W,4,1,Wolves,2.2,2.1,53,31317,Lewis Dunk,4-2-3-1,4-4-1-1,Andy Madley,Match Report,,16,8,15.6,0.0,0,0,Brighton And Hove Albion,2024
2023-08-26,17:30,Premier League,Matchweek 3,Sat,Home,L,1,3,West Ham,1.5,3.0,78,31508,Lewis Dunk,4-2-3-1,4-1-4-1,Anthony Taylor,Match Report,,25,10,19.5,1.0,0,0,Brighton And Hove Albion,2024
2023-09-02,17:30,Premier League,Matchweek 4,Sat,Home,W,3,1,Newcastle Utd,1.3,1.2,56,31620,Lewis Dunk,4-2-3-1,4-3-3,Stuart Attwell,Match Report,,15,6,17.3,0.0,0,0,Brighton And Hove Albion,2024
2023-09-16,15:00,Premier League,Matchweek 5,Sat,Away,W,3,1,Manchester Utd,1.7,1.0,56,73592,Lewis Dunk,4-2-3-1,4-1-2-1-2,Jarred Gillett,Match Report,,10,8,17.1,0.0,0,0,Brighton And Hove Albion,2024
2023-09-24,14:00,Premier League,Matchweek 6,Sun,Home,W,3,1,Bournemouth,1.9,1.1,61,31617,Lewis Dunk,4-2-3-1,4-2-3-1,John Brooks,Match Report,,13,4,17.1,0.0,0,0,Brighton And Hove Albion,2024
2023-09-30,12:30,Premier League,Matchweek 7,Sat,Away,L,1,6,Aston Villa,1.7,1.6,61,40636,Lewis Dunk,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,11,3,15.4,0.0,0,0,Brighton And Hove Albion,2024
2023-10-08,14:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Liverpool,2.3,2.3,46,31752,Lewis Dunk,4-2-3-1,4-3-3,Anthony Taylor,Match Report,,14,3,16.9,2.0,0,0,Brighton And Hove Albion,2024
2023-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,1,2,Manchester City,0.8,0.8,45,53466,Lewis Dunk,4-2-3-1,3-2-4-1,Robert Jones,Match Report,,5,3,12.1,0.0,0,0,Brighton And Hove Albion,2024
2023-10-29,14:00,Premier League,Matchweek 10,Sun,Home,D,1,1,Fulham,1.4,0.7,71,31550,Lewis Dunk,3-4-3,4-2-3-1,Michael Salisbury,Match Report,,18,6,18.1,1.0,0,0,Brighton And Hove Albion,2024
