Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2021-08-14,15:00,Premier League,Matchweek 1,Sat,Home,W,3,0,Crystal Palace,0.7,0.2,62,38965.0,César Azpilicueta,3-4-3,4-4-2,Jonathan Moss,Match Report,,13,6,21.0,4.0,0,0,Chelsea,2022
2021-08-22,16:30,Premier League,Matchweek 2,Sun,Away,W,2,0,Arsenal,3.1,0.3,65,58729.0,César Azpilicueta,3-4-3,4-2-3-1,Paul Tierney,Match Report,,22,5,16.0,0.0,0,0,Chelsea,2022
2021-08-28,17:30,Premier League,Matchweek 3,Sat,Away,D,1,1,Liverpool,0.6,2.5,35,54000.0,César Azpilicueta,3-4-3,4-3-3,Anthony Taylor,Match Report,,6,3,12.5,0.0,0,0,Chelsea,2022
2021-09-11,17:30,Premier League,Matchweek 4,Sat,Home,W,3,0,Aston Villa,1.3,1.2,57,39969.0,Marcos Alonso,3-4-3,5-3-2,Stuart Attwell,Match Report,,12,4,22.6,0.0,0,0,Chelsea,2022
2021-09-19,16:30,Premier League,Matchweek 5,Sun,Away,W,3,0,Tottenham,2.1,0.5,53,60059.0,César Azpilicueta,3-4-3,4-3-2-1,Paul Tierney,Match Report,,20,9,14.5,0.0,0,0,Chelsea,2022
2021-09-25,12:30,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester City,0.2,1.7,41,40036.0,César Azpilicueta,3-5-2,4-3-3,Michael Oliver,Match Report,,5,0,27.9,1.0,0,0,Chelsea,2022
2021-10-02,15:00,Premier League,Matchweek 7,Sat,Home,W,3,1,Southampton,3.3,1.3,62,40109.0,César Azpilicueta,3-4-3,4-4-2,Martin Atkinson,Match Report,,20,9,12.8,0.0,0,0,Chelsea,2022
2021-10-16,17:30,Premier League,Matchweek 8,Sat,Away,W,1,0,Brentford,0.3,1.4,55,16940.0,César Azpilicueta,3-5-2,3-5-2,Anthony Taylor,Match Report,,5,1,24.7,2.0,0,0,Chelsea,2022
2021-10-23,12:30,Premier League,Matchweek 9,Sat,Home,W,7,0,Norwich City,3.1,0.1,62,40113.0,Jorginho,3-4-3,3-5-2,Andy Madley,Match Report,,22,12,19.8,0.0,1,1,Chelsea,2022
2021-10-30,15:00,Premier League,Matchweek 10,Sat,Away,W,3,0,Newcastle Utd,2.2,0.2,79,52208.0,Jorginho,3-4-3,5-3-2,Paul Tierney,Match Report,,18,5,20.5,1.0,1,1,Chelsea,2022
2021-11-06,15:00,Premier League,Matchweek 11,Sat,Home,D,1,1,Burnley,1.8,0.7,70,39798.0,Jorginho,3-4-1-2,4-4-2,Andre Marriner,Match Report,,25,4,16.0,0.0,0,0,Chelsea,2022
2021-11-20,12:30,Premier League,Matchweek 12,Sat,Away,W,3,0,Leicester City,2.0,0.4,61,35497.0,Jorginho,3-4-3,3-4-3,Paul Tierney,Match Report,,16,7,16.7,2.0,0,0,Chelsea,2022
2021-11-28,16:30,Premier League,Matchweek 13,Sun,Home,D,1,1,Manchester Utd,2.7,0.9,65,40041.0,Jorginho,3-4-3,4-3-1-2,Anthony Taylor,Match Report,,23,5,16.8,0.0,1,1,Chelsea,2022
2021-12-01,19:30,Premier League,Matchweek 14,Wed,Away,W,2,1,Watford,0.9,1.0,49,20388.0,César Azpilicueta,3-4-3,4-1-4-1,David Coote,Match Report,,8,4,15.1,0.0,0,0,Chelsea,2022
2021-12-04,12:30,Premier League,Matchweek 15,Sat,Away,L,2,3,West Ham,1.1,1.8,63,59942.0,Jorginho,3-4-3,3-4-3,Andre Marriner,Match Report,,19,7,17.5,0.0,0,0,Chelsea,2022
2021-12-11,15:00,Premier League,Matchweek 16,Sat,Home,W,3,2,Leeds United,2.5,1.4,57,39959.0,César Azpilicueta,3-4-3,4-3-1-2,Chris Kavanagh,Match Report,,14,4,20.0,2.0,2,2,Chelsea,2022
2021-12-16,19:45,Premier League,Matchweek 17,Thu,Home,D,1,1,Everton,2.9,0.6,80,13933.0,César Azpilicueta,3-4-3,5-4-1,Michael Oliver,Match Report,,23,10,14.7,2.0,0,0,Chelsea,2022
2021-12-19,14:00,Premier League,Matchweek 18,Sun,Away,D,0,0,Wolves,0.9,0.2,63,30631.0,César Azpilicueta,3-4-3,3-5-2,David Coote,Match Report,,8,1,14.9,0.0,0,0,Chelsea,2022
2021-12-26,17:30,Premier League,Matchweek 19,Sun,Away,W,3,1,Aston Villa,2.6,0.4,58,41907.0,Jorginho,3-4-3,4-3-1-2,Martin Atkinson,Match Report,,8,2,17.6,1.0,2,2,Chelsea,2022
2021-12-29,19:30,Premier League,Matchweek 20,Wed,Home,D,1,1,Brighton,0.7,0.9,47,40080.0,César Azpilicueta,3-4-3,3-4-3,Mike Dean,Match Report,,11,5,13.6,0.0,0,0,Chelsea,2022
2022-01-02,16:30,Premier League,Matchweek 21,Sun,Home,D,2,2,Liverpool,1.2,1.3,54,40072.0,César Azpilicueta,3-4-3,4-3-3,Anthony Taylor,Match Report,,15,6,18.0,3.0,0,0,Chelsea,2022
2022-01-15,12:30,Premier League,Matchweek 22,Sat,Away,L,0,1,Manchester City,0.3,1.0,44,53319.0,César Azpilicueta,3-4-3,4-2-3-1,Craig Pawson,Match Report,,4,1,19.1,0.0,0,0,Chelsea,2022
2022-01-18,20:00,Premier League,Matchweek 24,Tue,Away,D,1,1,Brighton,0.7,0.7,56,30880.0,César Azpilicueta,4-2-2-2,4-1-4-1,Kevin Friend,Match Report,,15,3,21.1,1.0,0,0,Chelsea,2022
2022-01-23,16:30,Premier League,Matchweek 23,Sun,Home,W,2,0,Tottenham,1.2,0.5,64,40020.0,César Azpilicueta,4-3-3,4-4-2,Paul Tierney,Match Report,,15,7,15.9,0.0,0,0,Chelsea,2022
2022-02-19,15:00,Premier League,Matchweek 26,Sat,Away,W,1,0,Crystal Palace,0.9,0.5,58,25109.0,Jorginho,4-3-3,4-2-3-1,David Coote,Match Report,,9,3,17.0,1.0,0,0,Chelsea,2022
2022-03-05,15:00,Premier League,Matchweek 28,Sat,Away,W,4,0,Burnley,2.3,0.7,72,19439.0,Jorginho,3-4-3,4-4-2,Andre Marriner,Match Report,,11,5,18.1,0.0,0,0,Chelsea,2022
2022-03-10,19:30,Premier League,Matchweek 30,Thu,Away,W,3,1,Norwich City,1.8,1.0,66,26684.0,César Azpilicueta,3-4-3,5-3-2,Martin Atkinson,Match Report,,15,7,12.7,1.0,0,0,Chelsea,2022
2022-03-13,14:00,Premier League,Matchweek 29,Sun,Home,W,1,0,Newcastle Utd,1.1,0.3,71,40026.0,Jorginho,4-3-3,5-4-1,David Coote,Match Report,,8,3,16.4,1.0,0,0,Chelsea,2022
2022-04-02,15:00,Premier League,Matchweek 31,Sat,Home,L,1,4,Brentford,1.3,1.8,70,39061.0,César Azpilicueta,4-3-3,5-3-2,Andy Madley,Match Report,,21,8,20.1,0.0,0,0,Chelsea,2022
2022-04-09,15:00,Premier League,Matchweek 32,Sat,Away,W,6,0,Southampton,4.2,0.5,70,31359.0,N'Golo Kanté,3-4-1-2,4-4-2,Kevin Friend,Match Report,,24,14,15.3,0.0,0,0,Chelsea,2022
2022-04-20,19:45,Premier League,Matchweek 25,Wed,Home,L,2,4,Arsenal,0.7,2.0,67,32249.0,César Azpilicueta,3-4-1-2,4-2-3-1,Jonathan Moss,Match Report,,11,2,15.9,0.0,0,0,Chelsea,2022
2022-04-24,14:00,Premier League,Matchweek 34,Sun,Home,W,1,0,West Ham,3.0,0.5,66,32231.0,César Azpilicueta,3-4-1-2,3-4-3,Michael Oliver,Match Report,,25,4,19.0,0.0,0,1,Chelsea,2022
2022-04-28,19:45,Premier League,Matchweek 37,Thu,Away,D,1,1,Manchester Utd,1.9,0.5,64,73564.0,César Azpilicueta,3-4-1-2,4-2-3-1,Mike Dean,Match Report,,21,6,17.4,0.0,0,0,Chelsea,2022
2022-05-01,14:00,Premier League,Matchweek 35,Sun,Away,L,0,1,Everton,0.8,0.8,77,39256.0,César Azpilicueta,3-4-1-2,5-4-1,Kevin Friend,Match Report,,17,5,17.9,0.0,0,0,Chelsea,2022
2022-05-07,15:00,Premier League,Matchweek 36,Sat,Home,D,2,2,Wolves,1.7,2.0,59,32190.0,César Azpilicueta,3-4-1-2,3-5-2,Peter Bankes,Match Report,,18,5,18.2,2.0,1,1,Chelsea,2022
2022-05-11,19:30,Premier League,Matchweek 33,Wed,Away,W,3,0,Leeds United,1.3,0.4,67,36549.0,Jorginho,3-4-3,5-4-1,Anthony Taylor,Match Report,,17,3,16.9,0.0,0,0,Chelsea,2022
2022-05-19,20:00,Premier League,Matchweek 27,Thu,Home,D,1,1,Leicester City,1.6,0.1,67,31478.0,Jorginho,3-4-3,3-1-4-2,Stuart Attwell,Match Report,,20,7,20.0,2.0,0,0,Chelsea,2022
2022-05-22,16:00,Premier League,Matchweek 38,Sun,Home,W,2,1,Watford,2.2,0.6,71,32089.0,César Azpilicueta,3-4-3,4-3-3,Mike Dean,Match Report,,19,8,16.9,0.0,0,0,Chelsea,2022
