Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2023-08-12,15:00,Premier League,Matchweek 1,Sat,Home,L,0,1,Fulham,2.7,1.5,42,39940,James Tarkowski,4-4-1-1,4-3-3,Stuart Attwell,Match Report,,19,9,15.8,0.0,0,0,Everton,2024
2023-08-20,14:00,Premier League,Matchweek 2,Sun,Away,L,0,4,Aston Villa,0.6,2.9,40,41694,James Tarkowski,4-1-4-1,4-2-3-1,Anthony Taylor,Match Report,,9,2,14.7,0.0,0,0,Everton,2024
2023-08-26,15:00,Premier League,Matchweek 3,Sat,Home,L,0,1,Wolves,1.3,1.1,47,38851,James Tarkowski,4-1-4-1,4-4-1-1,Craig Pawson,Match Report,,15,7,13.8,0.0,0,0,Everton,2024
2023-09-02,12:30,Premier League,Matchweek 4,Sat,Away,D,2,2,Sheffield Utd,2.5,1.2,54,31124,James Tarkowski,4-4-1-1,3-5-2,Andy Madley,Match Report,,16,6,14.8,2.0,0,0,Everton,2024
2023-09-17,16:30,Premier League,Matchweek 5,Sun,Home,L,0,1,Arsenal,0.3,1.0,26,39217,James Tarkowski,4-5-1,4-3-3,Simon Hooper,Match Report,,8,1,21.6,0.0,0,0,Everton,2024
2023-09-23,17:30,Premier League,Matchweek 6,Sat,Away,W,3,1,Brentford,1.9,1.0,43,16981,James Tarkowski,4-4-1-1,4-3-3,Michael Oliver,Match Report,,18,6,17.8,0.0,0,0,Everton,2024
2023-09-30,15:00,Premier League,Matchweek 7,Sat,Home,L,1,2,Luton Town,2.9,0.9,67,39289,James Tarkowski,4-4-1-1,3-4-3,Anthony Taylor,Match Report,,23,4,14.4,0.0,0,0,Everton,2024
2023-10-07,15:00,Premier League,Matchweek 8,Sat,Home,W,3,0,Bournemouth,2.4,0.7,48,38815,James Tarkowski,4-4-1-1,4-2-3-1,David Coote,Match Report,,25,8,15.8,0.0,0,0,Everton,2024
2023-10-21,12:30,Premier League,Matchweek 9,Sat,Away,L,0,2,Liverpool,0.1,2.2,23,50201,James Tarkowski,4-4-1-1,4-3-3,Craig Pawson,Match Report,,6,1,35.2,0.0,0,0,Everton,2024
2023-10-29,13:00,Premier League,Matchweek 10,Sun,Away,W,1,0,West Ham,0.8,0.7,36,62469,James Tarkowski,4-4-1-1,4-2-3-1,Stuart Attwell,Match Report,,10,4,17.4,0.0,0,0,Everton,2024
2023-11-04,15:00,Premier League,Matchweek 11,Sat,Home,D,1,1,Brighton,0.7,0.5,21,38683,James Tarkowski,4-4-1-1,4-3-3,Tim Robinson,Match Report,,10,4,14.4,1.0,0,0,Everton,2024
2023-11-11,15:00,Premier League,Matchweek 12,Sat,Away,W,3,2,Crystal Palace,1.5,2.2,33,25103,James Tarkowski,4-4-1-1,4-2-3-1,Samuel Barrott,Match Report,,8,4,14.5,0.0,0,0,Everton,2024
2023-11-26,16:30,Premier League,Matchweek 13,Sun,Home,L,0,3,Manchester Utd,2.4,2.2,51,39257,James Tarkowski,4-4-1-1,4-2-3-1,John Brooks,Match Report,,24,6,16.9,0.0,0,0,Everton,2024
2023-12-02,17:30,Premier League,Matchweek 14,Sat,Away,W,1,0,Nott'ham Forest,0.7,0.7,39,29404,James Tarkowski,4-4-1-1,4-3-3,Paul Tierney,Match Report,,12,2,20.8,1.0,0,0,Everton,2024
2023-12-07,19:30,Premier League,Matchweek 15,Thu,Home,W,3,0,Newcastle Utd,3.3,1.5,38,38198,Séamus Coleman,4-4-1-1,4-3-3,Tim Robinson,Match Report,,21,6,13.3,0.0,0,0,Everton,2024
2023-12-10,14:00,Premier League,Matchweek 16,Sun,Home,W,2,0,Chelsea,1.2,0.9,29,39280,James Tarkowski,4-4-1-1,4-2-3-1,Michael Oliver,Match Report,,9,5,16.4,0.0,0,0,Everton,2024
2023-12-16,17:30,Premier League,Matchweek 17,Sat,Away,W,2,0,Burnley,1.4,0.7,39,21413,James Tarkowski,5-4-1,4-4-2,Anthony Taylor,Match Report,,9,6,11.8,1.0,0,0,Everton,2024
2023-12-23,15:00,Premier League,Matchweek 18,Sat,Away,L,1,2,Tottenham,1.8,1.5,39,61808,James Tarkowski,4-2-3-1,4-2-3-1,Stuart Attwell,Match Report,,18,8,15.8,0.0,0,0,Everton,2024
2023-12-27,20:15,Premier League,Matchweek 19,Wed,Home,L,1,3,Manchester City,1.0,2.4,28,39327,James Tarkowski,4-2-3-1,4-2-3-1,John Brooks,Match Report,,7,2,12.5,0.0,0,0,Everton,2024
2023-12-30,15:00,Premier League,Matchweek 20,Sat,Away,L,0,3,Wolves,0.4,1.9,47,31639,James Tarkowski,5-4-1,3-4-3,Thomas Bramall,Match Report,,10,0,20.7,0.0,0,0,Everton,2024
2024-01-14,14:00,Premier League,Matchweek 21,Sun,Home,D,0,0,Aston Villa,1.1,1.2,32,39284,Séamus Coleman,4-2-3-1,4-4-2,David Coote,Match Report,,10,2,17.2,1.0,0,0,Everton,2024
2024-01-30,19:45,Premier League,Matchweek 22,Tue,Away,D,0,0,Fulham,1.9,1.6,30,24376,James Tarkowski,4-4-1-1,4-2-3-1,Thomas Bramall,Match Report,,21,2,14.4,2.0,0,0,Everton,2024
2024-02-03,12:30,Premier League,Matchweek 23,Sat,Home,D,2,2,Tottenham,2.6,1.0,43,39321,James Tarkowski,4-4-1-1,4-2-3-1,Michael Oliver,Match Report,,14,4,14.3,0.0,0,0,Everton,2024
2024-02-10,12:30,Premier League,Matchweek 24,Sat,Away,L,0,2,Manchester City,0.3,1.6,28,52187,James Tarkowski,4-2-3-1,4-1-4-1,John Brooks,Match Report,,5,1,22.9,0.0,0,0,Everton,2024
2024-02-19,20:00,Premier League,Matchweek 25,Mon,Home,D,1,1,Crystal Palace,1.7,0.7,61,38164,James Tarkowski,4-4-1-1,3-4-3,Paul Tierney,Match Report,,19,4,16.4,1.0,0,0,Everton,2024
2024-02-24,15:00,Premier League,Matchweek 26,Sat,Away,D,1,1,Brighton,0.3,1.4,36,41646,James Tarkowski,4-4-1-1,4-2-3-1,Tony Harrington,Match Report,,6,2,16.0,0.0,0,0,Everton,2024
2024-03-02,15:00,Premier League,Matchweek 27,Sat,Home,L,1,3,West Ham,2.7,1.9,55,39262,James Tarkowski,4-4-1-1,4-2-3-1,Craig Pawson,Match Report,,21,9,21.8,0.0,0,1,Everton,2024
