Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Team,Season
2022-08-07,14:00,Premier League,Matchweek 1,Sun,Home,L,1,2,Brighton,1.4,1.5,62,73711,Harry Maguire,4-3-3,3-3-3-1,Paul Tierney,Match Report,,17,5,15.5,0.0,0,0,Manchester United,2023
2022-08-13,17:30,Premier League,Matchweek 2,Sat,Away,L,0,4,Brentford,0.9,1.6,66,17051,Harry Maguire,4-2-3-1,5-3-2,Stuart Attwell,Match Report,,15,4,19.6,0.0,0,0,Manchester United,2023
2022-08-22,20:00,Premier League,Matchweek 3,Mon,Home,W,2,1,Liverpool,1.8,1.3,30,74147,Bruno Fernandes,4-2-3-1,4-3-3,Michael Oliver,Match Report,,13,5,19.5,2.0,0,0,Manchester United,2023
2022-08-27,12:30,Premier League,Matchweek 4,Sat,Away,W,1,0,Southampton,1.1,1.4,51,31196,Bruno Fernandes,4-2-3-1,4-2-3-1,Andy Madley,Match Report,,11,4,15.5,1.0,0,0,Manchester United,2023
2022-09-01,20:00,Premier League,Matchweek 5,Thu,Away,W,1,0,Leicester City,1.5,0.7,47,32226,Bruno Fernandes,4-2-3-1,4-1-4-1,Craig Pawson,Match Report,,9,2,16.8,0.0,0,0,Manchester United,2023
2022-09-04,16:30,Premier League,Matchweek 6,Sun,Home,W,3,1,Arsenal,1.5,1.3,40,73431,Bruno Fernandes,4-2-3-1,4-3-3,Paul Tierney,Match Report,,10,6,15.5,0.0,0,0,Manchester United,2023
2022-10-02,14:00,Premier League,Matchweek 9,Sun,Away,L,3,6,Manchester City,1.7,3.2,47,53475,Bruno Fernandes,4-2-3-1,4-3-3,Michael Oliver,Match Report,,11,7,22.2,0.0,1,1,Manchester United,2023
2022-10-09,19:00,Premier League,Matchweek 10,Sun,Away,W,2,1,Everton,1.4,0.6,60,39258,Bruno Fernandes,4-2-3-1,4-3-3,David Coote,Match Report,,12,4,18.8,0.0,0,0,Manchester United,2023
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Home,D,0,0,Newcastle Utd,0.8,0.8,63,73726,Bruno Fernandes,4-2-3-1,4-3-3,Craig Pawson,Match Report,,15,2,19.4,1.0,0,0,Manchester United,2023
2022-10-19,20:15,Premier League,Matchweek 12,Wed,Home,W,2,0,Tottenham,1.5,0.6,52,73677,Bruno Fernandes,4-2-3-1,3-5-2,Simon Hooper,Match Report,,28,10,21.4,1.0,0,0,Manchester United,2023
2022-10-22,17:30,Premier League,Matchweek 13,Sat,Away,D,1,1,Chelsea,0.8,1.1,52,39503,Bruno Fernandes,4-1-4-1,3-4-3,Stuart Attwell,Match Report,,13,6,22.1,1.0,0,0,Manchester United,2023
2022-10-30,16:15,Premier League,Matchweek 14,Sun,Home,W,1,0,West Ham,1.2,1.1,53,73682,Harry Maguire,4-2-3-1,4-2-3-1,Chris Kavanagh,Match Report,,16,3,18.1,0.0,0,0,Manchester United,2023
